iter	Passed	Remaining
0	2	208
1	3	190
2	5	180
3	7	175
4	9	176
5	10	170
6	12	164
7	14	161
8	15	157
9	17	157
10	19	156
11	20	153
12	22	150
13	23	146
14	25	144
15	27	142
16	28	141
17	30	140
18	32	138
19	34	136
20	35	134
21	37	133
22	39	132
23	41	131
24	43	130
25	45	129
26	47	128
27	49	127
28	51	125
29	53	124
30	54	122
31	56	120
32	58	118
33	60	117
34	62	115
35	63	113
36	66	112
37	67	110
38	70	110
39	72	108
40	73	106
41	74	103
42	76	101
43	78	100
44	80	98
45	81	96
46	83	94
47	85	92
48	87	90
49	88	88
50	91	87
51	93	85
52	95	84
53	96	82
54	98	80
55	99	78
56	101	76
57	103	74
58	105	73
59	107	71
60	109	70
61	111	68
62	112	66
63	114	64
64	116	62
65	118	60
66	120	59
67	122	57
68	123	55
69	125	53
70	127	52
71	128	50
72	130	48
73	132	46
74	134	44
75	136	43
76	138	41
77	140	39
78	142	37
79	144	36
80	145	34
81	147	32
82	149	30
83	151	28
84	153	27
85	155	25
86	157	23
87	159	21
88	161	19
89	163	18
90	164	16
91	166	14
92	168	12
93	170	10
94	172	9
95	174	7
96	176	5
97	178	3
98	180	1
99	182	0
